"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"04775","PO BOX","SHERIDAN","ME","PRIMARY",46.66,-68.41,"NA-US-ME-SHERIDAN","false",,,
"04776","STANDARD","SHERMAN","ME","PRIMARY",45.81,-68.31,"NA-US-ME-SHERMAN","false",404,719,8656655
"04777","STANDARD","STACYVILLE","ME","PRIMARY",45.89,-68.43,"NA-US-ME-STACYVILLE","false",,,
"04779","STANDARD","SINCLAIR","ME","PRIMARY",47.16,-68.30,"NA-US-ME-SINCLAIR","false",,,
"04976","STANDARD","SKOWHEGAN","ME","PRIMARY",44.77,-69.71,"NA-US-ME-SKOWHEGAN","false",4356,7550,135684772
"04978","STANDARD","SMITHFIELD","ME","PRIMARY",44.63,-69.80,"NA-US-ME-SMITHFIELD","false",476,849,15776382
"04780","STANDARD","SMYRNA MILLS","ME","PRIMARY",46.12,-68.16,"NA-US-ME-SMYRNA MILLS","false",302,573,6894049
"04781","STANDARD","WALLAGRASS","ME","PRIMARY",47.15,-68.57,"NA-US-ME-WALLAGRASS","false",257,451,6867283
"04979","STANDARD","SOLON","ME","PRIMARY",44.94,-69.85,"NA-US-ME-SOLON","false",453,781,11305400
"04677","STANDARD","SORRENTO","ME","PRIMARY",44.49,-68.18,"NA-US-ME-SORRENTO","false",,,
"03908","STANDARD","SOUTH BERWICK","ME","PRIMARY",43.23,-70.81,"NA-US-ME-SOUTH BERWICK","false",3464,6298,153757892
"04568","STANDARD","SOUTH BRISTOL","ME","PRIMARY",43.86,-69.56,"NA-US-ME-SOUTH BRISTOL","false",,,
"04077","PO BOX","SOUTH CASCO","ME","PRIMARY",43.87,-70.51,"NA-US-ME-SOUTH CASCO","false",284,477,8516217
"04358","STANDARD","SOUTH CHINA","ME","PRIMARY",44.39,-69.58,"NA-US-ME-SOUTH CHINA","false",1879,3382,66979049
"04013","STANDARD","BUSTINS ISLAND","ME","PRIMARY",43.79,-70.07,"NA-US-ME-BUSTINS ISLAND","false",,,
"04078","PO BOX","SOUTH FREEPORT","ME","PRIMARY",43.86,-70.10,"NA-US-ME-SOUTH FREEPORT","false",309,539,20133467
"04359","PO BOX","SOUTH GARDINER","ME","PRIMARY",44.17,-69.78,"NA-US-ME-SOUTH GARDINER","false",265,453,8585727
"04079","STANDARD","HARPSWELL","ME","PRIMARY",43.80,-69.98,"NA-US-ME-HARPSWELL","false",2020,3440,72073742
"04281","STANDARD","SOUTH PARIS","ME","PRIMARY",44.21,-70.51,"NA-US-ME-SOUTH PARIS","false",2174,3737,62067583
"04858","STANDARD","SOUTH THOMASTON","ME","PRIMARY",44.05,-69.12,"NA-US-ME-SOUTH THOMASTON","false",713,1256,18363171
"04679","STANDARD","SOUTHWEST HARBOR","ME","PRIMARY",44.27,-68.33,"NA-US-ME-SOUTHWEST HARBOR","false",1058,1735,29839234
"04487","STANDARD","SPRINGFIELD","ME","PRIMARY",45.39,-68.13,"NA-US-ME-SPRINGFIELD","false",350,628,7111599
"04083","STANDARD","SPRINGVALE","ME","PRIMARY",43.46,-70.80,"NA-US-ME-SPRINGVALE","false",2352,3911,77285307
"04859","STANDARD","SPRUCE HEAD","ME","PRIMARY",44.01,-69.17,"NA-US-ME-SPRUCE HEAD","false",408,679,9557944
"04084","STANDARD","STANDISH","ME","PRIMARY",43.73,-70.55,"NA-US-ME-STANDISH","false",3677,6504,146244913
"04085","STANDARD","STEEP FALLS","ME","PRIMARY",43.76,-70.64,"NA-US-ME-STEEP FALLS","false",887,1600,36321242
"04488","STANDARD","STETSON","ME","PRIMARY",44.89,-69.14,"NA-US-ME-STETSON","false",519,944,16712172
"04680","STANDARD","STEUBEN","ME","PRIMARY",44.51,-67.96,"NA-US-ME-STEUBEN","false",490,857,7679384
"04489","PO BOX","STILLWATER","ME","PRIMARY",45.01,-68.72,"NA-US-ME-STILLWATER","false",,,
"04783","STANDARD","STOCKHOLM","ME","PRIMARY",47.04,-68.14,"NA-US-ME-STOCKHOLM","false",,,
"04981","STANDARD","STOCKTON SPRINGS","ME","PRIMARY",44.48,-68.85,"NA-US-ME-STOCKTON SPRINGS","false",1045,1822,32219919
"04645","PO BOX","ISLE AU HAUT","ME","PRIMARY",44.04,-68.62,"NA-US-ME-ISLE AU HAUT","false",,,
"04681","STANDARD","STONINGTON","ME","PRIMARY",44.18,-68.67,"NA-US-ME-STONINGTON","false",602,992,9719829
"04982","STANDARD","STRATTON","ME","PRIMARY",45.14,-70.44,"NA-US-ME-STRATTON","false",302,509,7559592
"04983","STANDARD","STRONG","ME","PRIMARY",44.80,-70.22,"NA-US-ME-STRONG","false",743,1338,20397979
"04683","STANDARD","SUNSET","ME","PRIMARY",44.22,-68.70,"NA-US-ME-SUNSET","false",,,
"04684","STANDARD","SURRY","ME","PRIMARY",44.49,-68.50,"NA-US-ME-SURRY","false",736,1252,21803755
"04685","STANDARD","SWANS ISLAND","ME","PRIMARY",44.14,-68.45,"NA-US-ME-SWANS ISLAND","false",,,
"04984","STANDARD","TEMPLE","ME","PRIMARY",44.68,-70.22,"NA-US-ME-TEMPLE","false",257,450,6830413
"04860","STANDARD","TENANTS HARBOR","ME","PRIMARY",43.95,-69.23,"NA-US-ME-TENANTS HARBOR","false",812,1361,17828723
"04861","STANDARD","THOMASTON","ME","PRIMARY",44.08,-69.18,"NA-US-ME-THOMASTON","false",1432,2417,39256149
"04986","STANDARD","THORNDIKE","ME","PRIMARY",44.57,-69.27,"NA-US-ME-THORNDIKE","false",680,1251,17682514
"04490","STANDARD","TOPSFIELD","ME","PRIMARY",45.41,-67.73,"NA-US-ME-TOPSFIELD","false",,,
"04086","STANDARD","TOPSHAM","ME","PRIMARY",43.93,-69.94,"NA-US-ME-TOPSHAM","false",4661,8014,167125397
"04571","STANDARD","TREVETT","ME","PRIMARY",43.89,-69.67,"NA-US-ME-TREVETT","false",,,
"04987","STANDARD","TROY","ME","PRIMARY",44.66,-69.24,"NA-US-ME-TROY","false",401,735,11170557
"04282","STANDARD","TURNER","ME","PRIMARY",44.25,-70.25,"NA-US-ME-TURNER","false",2503,4579,103303830
"04862","STANDARD","UNION","ME","PRIMARY",44.21,-69.27,"NA-US-ME-UNION","false",1803,3128,54479881
"04988","STANDARD","UNITY","ME","PRIMARY",44.61,-69.33,"NA-US-ME-UNITY","false",769,1315,20801374
"04745","STANDARD","FRENCHVILLE","ME","PRIMARY",47.28,-68.38,"NA-US-ME-FRENCHVILLE","false",484,882,15529969
"04785","STANDARD","VAN BUREN","ME","PRIMARY",47.16,-67.95,"NA-US-ME-VAN BUREN","false",1031,1796,23896413
"04454","PO BOX","LAMBERT LAKE","ME","PRIMARY",45.54,-67.52,"NA-US-ME-LAMBERT LAKE","false",,,
"04491","PO BOX","VANCEBORO","ME","PRIMARY",45.56,-67.43,"NA-US-ME-VANCEBORO","false",,,
"04989","STANDARD","VASSALBORO","ME","PRIMARY",44.45,-69.67,"NA-US-ME-VASSALBORO","false",1785,3155,61183978
"04360","STANDARD","VIENNA","ME","PRIMARY",44.53,-69.98,"NA-US-ME-VIENNA","false",,,
"04863","STANDARD","VINALHAVEN","ME","PRIMARY",44.04,-68.83,"NA-US-ME-VINALHAVEN","false",597,1016,9190713
"04572","STANDARD","WALDOBORO","ME","PRIMARY",44.09,-69.38,"NA-US-ME-WALDOBORO","false",2431,4157,60192026
"04573","STANDARD","WALPOLE","ME","PRIMARY",43.94,-69.55,"NA-US-ME-WALPOLE","false",,,
"04864","STANDARD","WARREN","ME","PRIMARY",44.12,-69.24,"NA-US-ME-WARREN","false",1861,3229,53996000
"04786","STANDARD","WASHBURN","ME","PRIMARY",46.79,-68.15,"NA-US-ME-WASHBURN","false",745,1370,21837641
"04574","STANDARD","WASHINGTON","ME","PRIMARY",44.27,-69.36,"NA-US-ME-WASHINGTON","false",701,1240,18333823
"04087","STANDARD","WATERBORO","ME","PRIMARY",43.53,-70.71,"NA-US-ME-WATERBORO","false",1097,1989,39140747
"04088","STANDARD","WATERFORD","ME","PRIMARY",44.18,-70.71,"NA-US-ME-WATERFORD","false",658,1155,17642887
"04901","STANDARD","WATERVILLE","ME","PRIMARY",44.56,-69.55,"NA-US-ME-WATERVILLE","false",10937,18306,343517918
"04903","PO BOX","WATERVILLE","ME","PRIMARY",44.54,-69.66,"NA-US-ME-WATERVILLE","false",533,818,17689274
"04284","STANDARD","WAYNE","ME","PRIMARY",44.34,-70.06,"NA-US-ME-WAYNE","false",580,1002,20329983
"04285","STANDARD","WELD","ME","PRIMARY",44.69,-70.42,"NA-US-ME-WELD","false",,,
"04090","STANDARD","WELLS","ME","PRIMARY",43.32,-70.58,"NA-US-ME-WELLS","false",4779,8068,171536338
"04091","STANDARD","WEST BALDWIN","ME","PRIMARY",43.83,-70.77,"NA-US-ME-WEST BALDWIN","false",406,746,12320111
"04575","PO BOX","WEST BOOTHBAY HARBOR","ME","PRIMARY",43.85,-69.65,"NA-US-ME-WEST BOOTHBAY HARBOR","false",,,
"04287","STANDARD","BOWDOIN","ME","PRIMARY",44.04,-70.02,"NA-US-ME-BOWDOIN","false",1395,2575,50736958
"04092","STANDARD","WESTBROOK","ME","PRIMARY",43.69,-70.35,"NA-US-ME-WESTBROOK","false",8414,13620,294262639
"04098","PO BOX","WESTBROOK","ME","PRIMARY",43.69,-70.35,"NA-US-ME-WESTBROOK","false",366,537,9909716
"04093","STANDARD","BUXTON","ME","PRIMARY",43.66,-70.60,"NA-US-ME-BUXTON","false",3816,6701,149373118
"04493","STANDARD","WEST ENFIELD","ME","PRIMARY",45.26,-68.58,"NA-US-ME-WEST ENFIELD","false",775,1455,23720499
"04992","PO BOX","WEST FARMINGTON","ME","PRIMARY",44.63,-70.16,"NA-US-ME-WEST FARMINGTON","false",292,476,6431200
"04787","STANDARD","WESTFIELD","ME","PRIMARY",46.57,-67.92,"NA-US-ME-WESTFIELD","false",,,
"04985","STANDARD","WEST FORKS","ME","PRIMARY",45.42,-69.97,"NA-US-ME-WEST FORKS","false",,,
"04094","PO BOX","WEST KENNEBUNK","ME","PRIMARY",43.41,-70.62,"NA-US-ME-WEST KENNEBUNK","false",269,444,7117506
"04288","PO BOX","WEST MINOT","ME","PRIMARY",44.17,-70.33,"NA-US-ME-WEST MINOT","false",,,
"04095","STANDARD","WEST NEWFIELD","ME","PRIMARY",43.64,-70.92,"NA-US-ME-WEST NEWFIELD","false",534,967,16757134
